Obs,Date,SP500,TSLA,KO,JNJ
1,2010-07-31,1101.599976,1.329332948,27.55500031,58.09000015
2,2010-08-31,1049.329956,1.298666954,27.94000053,57.02000046
3,2010-09-30,1141.199951,1.36066699,29.26000023,61.95999908
4,2010-10-31,1183.26001,1.45599997,30.65999985,63.74000168
5,2010-11-30,1180.550049,2.35533309,31.58499908,61.54999924
6,2010-12-31,1257.640015,1.775333047,32.88499832,61.84999847
7,2011-01-31,1286.119995,1.606667042,31.42499924,59.77000046
8,2011-02-28,1327.219971,1.592666984,31.95999908,61.43999863
9,2011-03-31,1325.829956,1.850000024,33.16999817,59.25
10,2011-04-30,1363.609985,1.840000033,33.72999954,65.72000122
11,2011-05-31,1345.199951,2.009332895,33.40499878,67.29000092
12,2011-06-30,1320.640015,1.942000031,33.64500046,66.51999664
13,2011-07-31,1292.280029,1.878000021,34.00500107,64.79000092
14,2011-08-31,1218.890015,1.649333,35.22499847,65.80000305
15,2011-09-30,1131.420044,1.626000047,33.77999878,63.68999863
16,2011-10-31,1253.300049,1.957999945,34.15999985,64.38999939
17,2011-11-30,1246.959961,2.182667017,33.61500168,64.72000122
18,2011-12-31,1257.599976,1.904000044,34.98500061,65.58000183
19,2012-01-31,1312.410034,1.937999964,33.76499939,65.91000366
20,2012-02-29,1365.680054,2.227333069,34.93000031,65.08000183
21,2012-03-31,1408.469971,2.482666969,37.00500107,65.95999908
22,2012-04-30,1397.910034,2.20866704,38.15999985,65.09999847
23,2012-05-31,1310.329956,1.966667056,37.36500168,62.43000031
24,2012-06-30,1362.160034,2.085999966,39.09500122,67.55999756
25,2012-07-31,1379.319946,1.827999949,40.40000153,69.22000122
26,2012-08-31,1406.579956,1.901332974,37.40000153,67.43000031
27,2012-09-30,1440.670044,1.952000022,37.93000031,68.91000366
28,2012-10-31,1412.160034,1.875332952,37.18000031,70.81999969
29,2012-11-30,1416.180054,2.254667044,37.91999817,69.73000336
30,2012-12-31,1426.189941,2.257999897,36.25,70.09999847
31,2013-01-31,1498.109985,2.500667095,37.24000168,73.91999817
32,2013-02-28,1514.680054,2.322000027,38.72000122,76.11000061
33,2013-03-31,1569.189941,2.526000023,40.43999863,81.52999878
34,2013-04-30,1597.569946,3.599333048,42.33000183,85.23000336
35,2013-05-31,1630.73999,6.517333031,39.99000168,84.18000031
36,2013-06-30,1606.280029,7.157332897,40.11000061,85.86000061
37,2013-07-31,1685.72998,8.951999664,40.08000183,93.5
38,2013-08-31,1632.969971,11.26666737,38.18000031,86.41000366
39,2013-09-30,1681.550049,12.89133263,37.88000107,86.69000244
40,2013-10-31,1756.540039,10.66266727,39.56999969,92.61000061
41,2013-11-30,1805.810059,8.485333443,40.18999863,94.66000366
42,2013-12-31,1848.359985,10.02866745,41.31000137,91.58999634
43,2014-01-31,1782.589966,12.09399986,37.81999969,88.47000122
44,2014-02-28,1859.449951,16.32066727,38.20000076,92.12000275
45,2014-03-31,1872.339966,13.89666653,38.65999985,98.23000336
46,2014-04-30,1883.949951,13.85933304,40.79000092,101.2900009
47,2014-05-31,1923.569946,13.85133266,40.90999985,101.4599991
48,2014-06-30,1960.22998,16.00399971,42.36000061,104.6200027
49,2014-07-31,1930.670044,14.88666725,39.29000092,100.0899963
50,2014-08-31,2003.369995,17.97999954,41.72000122,103.7300034
51,2014-09-30,1972.290039,16.17866707,42.65999985,106.5899963
52,2014-10-31,2018.050049,16.11333275,41.88000107,107.7799988
53,2014-11-30,2067.560059,16.30133247,44.83000183,108.25
54,2014-12-31,2058.899902,14.82733345,42.22000122,104.5699997
55,2015-01-31,1994.98999,13.57333279,41.16999817,100.1399994
56,2015-02-28,2104.5,13.55599976,43.29999924,102.5100021
57,2015-03-31,2067.889893,12.58466721,40.54999924,100.5999985
58,2015-04-30,2085.51001,15.06999969,40.56000137,99.19999695
59,2015-05-31,2107.389893,16.71999931,40.95999908,100.1399994
60,2015-06-30,2063.110107,17.88400078,39.22999954,97.45999908
61,2015-07-31,2103.840088,17.74333382,41.08000183,100.2099991
62,2015-08-31,1972.180054,16.60400009,39.31999969,93.98000336
63,2015-09-30,1920.030029,16.55999947,40.11999893,93.34999847
64,2015-10-31,2079.360107,13.79533291,42.34999847,101.0299988
65,2015-11-30,2080.409912,15.350667,42.61999893,101.2399979
66,2015-12-31,2043.939941,16.00066757,42.95999908,102.7200012
67,2016-01-31,1940.23999,12.74666691,42.91999817,104.4400024
68,2016-02-29,1932.22998,12.79533291,43.13000107,105.2099991
69,2016-03-31,2059.73999,15.31799984,46.38999939,108.1999969
70,2016-04-30,2065.300049,16.05066681,44.79999924,112.0800018
71,2016-05-31,2096.949951,14.88199997,44.59999847,112.6900024
72,2016-06-30,2098.860107,14.15200043,45.33000183,121.3000031
73,2016-07-31,2173.600098,15.65266705,43.63000107,125.2300034
74,2016-08-31,2170.949951,14.13399982,43.43000031,119.3399963
75,2016-09-30,2168.27002,13.60200024,42.31999969,118.1299973
76,2016-10-31,2126.149902,13.18200016,42.40000153,115.9899979
77,2016-11-30,2198.810059,12.62666702,40.34999847,111.3000031
78,2016-12-31,2238.830078,14.24600029,41.45999908,115.2099991
